shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
17337,33.21287,-87.54159,1
17337,33.21299,-87.54152,2
17337,33.21308,-87.54147,3
17337,33.21317,-87.54147,4
17337,33.2132,-87.54149,5
17337,33.21329,-87.54155,6
17337,33.21317,-87.54179,7
17337,33.21302,-87.5421,8
17337,33.21276,-87.54251,9
17337,33.21256,-87.54274,10
17337,33.21251,-87.54279,11
17337,33.21259,-87.54305,12
17337,33.21259,-87.54313,13
17337,33.21258,-87.54322,14
17337,33.21255,-87.54337,15
17337,33.2125,-87.54351,16
17337,33.21236,-87.54383,17
17337,33.21232,-87.54391,18
17337,33.21226,-87.54401,19
17337,33.21221,-87.54408,20
17337,33.21216,-87.54414,21
17337,33.21211,-87.54417,22
17337,33.211973071,-87.544237551,23
17337,33.211861224,-87.544255775,24
17337,33.212117404,-87.546333936,25
17337,33.212274095,-87.547612449,26
17337,33.210881012,-87.547993528,27
17337,33.209882873,-87.548310233,28
17337,33.209705117,-87.547158572,29
17337,33.209667756,-87.546963382,30
17337,33.209214094,-87.544398542,31
17337,33.208535314,-87.540561953,32
17337,33.207964291,-87.53723,33
17337,33.208896732,-87.537016093,34
17337,33.208711418,-87.535875102,35
17337,33.208627361,-87.535534432,36
17337,33.20857,-87.53535,37
17337,33.20849,-87.53509,38
17337,33.20843,-87.53479,39
17337,33.20841,-87.53453,40
17337,33.20841693,-87.534172682,41
17337,33.208458977,-87.533742682,42
17337,33.208502756,-87.53351793,43
17337,33.208599605,-87.533208513,44
17337,33.208832836,-87.532750029,45
17337,33.208905117,-87.532572157,46
17337,33.208965512,-87.532351079,47
17337,33.20899,-87.53213,48
17337,33.208992047,-87.531328572,49
17337,33.208974094,-87.531016852,50
17337,33.208919408,-87.530752974,51
17337,33.208823896,-87.530542216,52
17337,33.208778779,-87.530416064,53
17337,33.20869307,-87.529688047,54
17337,33.20891,-87.52964,55
17337,33.209381023,-87.529558775,56
17337,33.209805512,-87.529531458,57
17337,33.21038248,-87.529566093,58
17337,33.21084378,-87.529639737,59
17337,33.21118,-87.52972,60
17337,33.21161,-87.529908047,61
17337,33.212446732,-87.530332915,62
17337,33.21289878,-87.530572187,63
17337,33.214409172,-87.531284898,64
17337,33.21425,-87.53172,65
17337,33.21388,-87.53277,66
17337,33.21361,-87.53353,67
17337,33.21354,-87.53372,68
17337,33.21319,-87.53469,69
17337,33.21318,-87.53473,70
17337,33.21304,-87.53515,71
17337,33.21282,-87.53578,72
17337,33.21262,-87.53653,73
17337,33.21248,-87.53756,74
17337,33.21248,-87.53786,75
17337,33.21249,-87.53826,76
17337,33.21256,-87.5389,77
17337,33.21263,-87.53928,78
17337,33.21276,-87.53976,79
17337,33.21302,-87.54043,80
17337,33.21316,-87.54074,81
17337,33.21327,-87.54098,82
17337,33.21348,-87.54116,83
17337,33.21344,-87.54123,84
17337,33.2134,-87.54133,85
17337,33.21332,-87.54148,86
17337,33.21329,-87.54155,87
17337,33.21302,-87.5421,88
17337,33.21285,-87.54191,89
17337,33.21273,-87.54185,90
17337,33.21276,-87.54177,91
17337,33.21278,-87.54173,92
17337,33.21287,-87.54159,93
17337,33.21294,-87.54155,94
