trip_id,arrival_time,departure_time,stop_id,stop_sequence
228040,06:50:00,06:50:00,7686,1
228040,06:52:00,06:52:00,24483,2
228040,06:55:00,06:55:00,5102,3
228040,06:59:00,06:59:00,7713,4
228040,07:00:00,07:00:00,7637,5
228040,07:01:00,07:01:00,7635,6
228040,07:02:00,07:02:00,7715,7
228040,07:04:00,07:04:00,7633,8
228041,07:06:00,07:06:00,7686,1
228041,07:08:00,07:08:00,24483,2
228041,07:11:00,07:11:00,5102,3
228041,07:15:00,07:15:00,7713,4
228041,07:16:00,07:16:00,7637,5
228041,07:17:00,07:17:00,7635,6
228041,07:18:00,07:18:00,7715,7
228041,07:20:00,07:20:00,7633,8
228042,07:22:00,07:22:00,7686,1
228042,07:24:00,07:24:00,24483,2
228042,07:27:00,07:27:00,5102,3
228042,07:31:00,07:31:00,7713,4
228042,07:32:00,07:32:00,7637,5
228042,07:33:00,07:33:00,7635,6
228042,07:34:00,07:34:00,7715,7
228042,07:36:00,07:36:00,7633,8
228043,07:38:00,07:38:00,7686,1
228043,07:40:00,07:40:00,24483,2
228043,07:43:00,07:43:00,5102,3
228043,07:49:00,07:49:00,7713,4
228043,07:50:00,07:50:00,7637,5
228043,07:51:00,07:51:00,7635,6
228043,07:52:00,07:52:00,7715,7
228043,07:54:00,07:54:00,7633,8
228044,07:56:00,07:56:00,7686,1
228044,07:58:00,07:58:00,24483,2
228044,08:01:00,08:01:00,5102,3
228044,08:07:00,08:07:00,7713,4
228044,08:08:00,08:08:00,7637,5
228044,08:09:00,08:09:00,7635,6
228044,08:10:00,08:10:00,7715,7
228044,08:12:00,08:12:00,7633,8
228045,08:14:00,08:14:00,7686,1
228045,08:16:00,08:16:00,24483,2
228045,08:19:00,08:19:00,5102,3
228045,08:25:00,08:25:00,7713,4
228045,08:26:00,08:26:00,7637,5
228045,08:27:00,08:27:00,7635,6
228045,08:28:00,08:28:00,7715,7
228045,08:30:00,08:30:00,7633,8
228046,08:32:00,08:32:00,7686,1
228046,08:34:00,08:34:00,24483,2
228046,08:37:00,08:37:00,5102,3
